movie_id,actor_id,actor_name,is_director,title,return
42588,3.0,Harrison Ford,False,Getting Straight,0.0
150578,1243.0,Woody Allen,True,Light Keeps Me Company,0.0
329216,6193.0,Leonardo DiCaprio,False,The Foot Shooting Party,0.0
301365,6384.0,Keanu Reeves,True,The Neon Demon,0.1904462857142857
320588,35.0,Sally Field,True,"Hello, My Name Is Doris",14.444999
315664,5064.0,Meryl Streep,False,Florence Foster Jenkins,1.686308724137931
342521,6384.0,Keanu Reeves,True,Keanu,1.3710884666666667
290825,85.0,Johnny Depp,True,Yoga Hosers,0.0
356325,31.0,Tom Hanks,True,Everything Is Copy,0.0
356325,5064.0,Meryl Streep,False,Everything Is Copy,0.0
57656,3.0,Harrison Ford,False,Dangerous Days: Making Blade Runner,0.0
34036,7056.0,Emma Thompson,False,Imagining Argentina,0.0
357125,31.0,Tom Hanks,True,The Sixties,0.0
39764,1243.0,Woody Allen,True,Glass: A Portrait of Philip in Twelve Parts,0.0
270010,31.0,Tom Hanks,True,A Hologram for the King,0.1404164666666666
241259,85.0,Johnny Depp,True,Alice Through the Looking Glass,1.7610004941176471
87061,31.0,Tom Hanks,True,The Extraordinary Voyage,0.0
339397,1243.0,Woody Allen,True,Café Society,1.4587749
341012,54693.0,Emma Stone,False,Popstar: Never Stop Never Stopping,0.0
324314,190.0,Clint Eastwood,True,Tab Hunter Confidential,0.0
294272,4135.0,Robert Redford,True,Pete's Dragon,2.210697507692308
130134,190.0,Clint Eastwood,True,Lafayette Escadrille,0.0
363676,31.0,Tom Hanks,True,Sully,3.97450055
292277,3.0,Harrison Ford,False,Living in the Age of Airplanes,0.0
382079,85.0,Johnny Depp,True,Donald Trump's The Art of the Deal: The Movie,0.0
333484,5292.0,Denzel Washington,True,The Magnificent Seven,1.8040070666666668
95610,7056.0,Emma Thompson,False,Bridget Jones's Baby,6.055783428571429
331583,6384.0,Keanu Reeves,True,The Whole Truth,0.0
21799,287.0,Brad Pitt,False,Cutting Class,0.0
409536,4431.0,Jessica Lange,False,Horace and Pete,0.0
313369,54693.0,Emma Stone,False,La La Land,14.847856666666669
369885,287.0,Brad Pitt,False,Allied,1.4061179176470588
207932,31.0,Tom Hanks,True,Inferno,2.9336167866666667
418772,1243.0,Woody Allen,True,Crisis in Six Scenes,0.0
406992,4431.0,Jessica Lange,False,Wild Oats,0.0
343611,500.0,Tom Cruise,False,Jack Reacher: Never Go Back,2.7024346
410718,6193.0,Leonardo DiCaprio,False,Before the Flood,0.0
259910,4135.0,Robert Redford,True,Marvel Studios: Assembling a Universe,0.0
345920,2888.0,Will Smith,False,Collateral Beauty,2.4282228055555555
393457,5292.0,Denzel Washington,True,Fences,2.683948375
334522,7056.0,Emma Thompson,False,Alone in Berlin,0.0
324552,6384.0,Keanu Reeves,True,John Wick: Chapter 2,4.288497175
321612,10990.0,Emma Watson,False,Beauty and the Beast,7.89303960625
321612,7056.0,Emma Thompson,False,Beauty and the Beast,7.89303960625
33712,4135.0,Robert Redford,True,Trudell,0.0
401104,6384.0,Keanu Reeves,True,To the Bone,0.0
44303,5064.0,Meryl Streep,False,Higglety Pigglety Pop! or There Must Be More to Life,0.0
140465,31.0,Tom Hanks,True,Prohibition,0.0
376134,4135.0,Robert Redford,True,The Discovery,0.0
305642,31.0,Tom Hanks,True,Ithaca,0.0
410205,4135.0,Robert Redford,True,"All Governments Lie: Truth, Deception, and the Spirit of I.F. Stone",0.0
331214,31.0,Tom Hanks,True,Band of Brothers,0.0
