movie_id,director_id,director_name,title,release_date,budget,revenue,return
9466,1243,Woody Allen,Celebrity,1998-09-07,0.0,0.0,0.0
11545,5655,Wes Anderson,Rushmore,1998-09-17,9000000.0,17096053.0,1.8995614444444444
8879,190,Clint Eastwood,Pale Rider,1985-06-28,0.0,41410568.0,0.0
10013,1776,Francis Ford Coppola,Peggy Sue Got Married,1986-10-05,18000000.0,41382841.0,2.299046722222222
11873,1032,Martin Scorsese,The Color of Money,1986-10-07,13800000.0,52293982.0,3.7894189855072464
10015,190,Clint Eastwood,Heartbreak Ridge,1986-12-15,15000000.0,42724017.0,2.8482678
10354,190,Clint Eastwood,True Crime,1999-03-19,0.0,0.0,0.0
345,240,Stanley Kubrick,Eyes Wide Shut,1999-07-14,65000000.0,162091208.0,2.4937108923076923
247,240,Stanley Kubrick,The Killing,1956-05-08,320000.0,0.0,0.0
10056,240,Stanley Kubrick,Killer's Kiss,1955-09-21,75000.0,0.0,0.0
967,240,Stanley Kubrick,Spartacus,1960-10-06,12000000.0,60000000.0,5.0
802,240,Stanley Kubrick,Lolita,1962-06-13,2000000.0,9250000.0,4.625
3175,240,Stanley Kubrick,Barry Lyndon,1975-12-18,11000000.0,20000000.0,1.818181818181818
873,488,Steven Spielberg,The Color Purple,1985-12-18,15000000.0,146292009.0,9.7528006
30890,1243,Woody Allen,Radio Days,1987-01-30,16000000.0,0.0,0.0
11901,190,Clint Eastwood,High Plains Drifter,1973-04-19,5500000.0,15700000.0,2.8545454545454545
11562,1243,Woody Allen,Crimes and Misdemeanors,1989-10-13,19000000.0,18254702.0,0.9607737894736842
8649,1032,Martin Scorsese,Bringing Out the Dead,1999-10-22,32000000.0,0.0,0.0
9684,1243,Woody Allen,Sweet and Lowdown,1999-12-03,0.0,0.0,0.0
840,488,Steven Spielberg,Close Encounters of the Third Kind,1977-11-16,20000000.0,303788635.0,15.18943175
879,488,Steven Spielberg,Hook,1991-12-11,70000000.0,300854823.0,4.297926042857143
10747,190,Clint Eastwood,The Outlaw Josey Wales,1976-06-30,3700000.0,31800000.0,8.594594594594595
1443,1769,Sofia Coppola,The Virgin Suicides,1999-04-21,6000000.0,10409377.0,1.734896166666667
10569,1243,Woody Allen,Small Time Crooks,2000-05-19,0.0,0.0,0.0
11368,1223,Joel Coen,Blood Simple,1984-09-07,1500000.0,0.0,0.0
592,1776,Francis Ford Coppola,The Conversation,1974-04-07,1600000.0,4420000.0,2.7625
5121,488,Steven Spielberg,The Sugarland Express,1974-04-05,3000000.0,12800000.0,4.266666666666667
11624,1243,Woody Allen,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972-08-06,2000000.0,18016290.0,9.008145
15867,1243,Woody Allen,Interiors,1978-08-02,0.0,0.0,0.0
11686,1243,Woody Allen,Love and Death,1975-06-10,3000000.0,20173742.0,6.724580666666666
5551,190,Clint Eastwood,Space Cowboys,2000-07-31,65000000.0,128884132.0,1.9828328
21866,190,Clint Eastwood,Bronco Billy,1980-06-11,0.0,0.0,0.0
134,1223,Joel Coen,"O Brother, Where Art Thou?",2000-08-30,26000000.0,71868327.0,2.764166423076923
10110,488,Steven Spielberg,Empire of the Sun,1987-12-09,35000000.0,22238696.0,0.6353913142857143
28368,1776,Francis Ford Coppola,Gardens of Stone,1987-05-05,0.0,5262047.0,0.0
644,488,Steven Spielberg,A.I. Artificial Intelligence,2001-06-29,100000000.0,235926552.0,2.35926552
8217,1243,Woody Allen,Alice,1990-12-25,0.0,0.0,0.0
22478,1243,Woody Allen,Another Woman,1988-10-13,0.0,0.0,0.0
22477,1243,Woody Allen,September,1987-01-01,0.0,0.0,0.0
19200,1243,Woody Allen,Shadows and Fog,1991-12-05,14000000.0,2735731.0,0.1954093571428571
24679,190,Clint Eastwood,Bird,1988-07-01,0.0,0.0,0.0
28176,1776,Francis Ford Coppola,Tucker: The Man and His Dream,1988-08-12,0.0,0.0,0.0
11352,488,Steven Spielberg,Always,1989-12-22,31000000.0,74134790.0,2.3914448387096776
9686,1243,Woody Allen,New York Stories,1989-03-10,15000000.0,0.0,0.0
9686,1776,Francis Ford Coppola,New York Stories,1989-03-10,15000000.0,0.0,0.0
9686,1032,Martin Scorsese,New York Stories,1989-03-10,15000000.0,0.0,0.0
2148,1776,Francis Ford Coppola,The Cotton Club,1984-12-14,58000000.0,25928721.0,0.4470469137931034
2779,1243,Woody Allen,The Curse of the Jade Scorpion,2001-08-05,0.0,0.0,0.0
11521,1038,Jodie Foster,Little Man Tate,1991-09-06,0.0,0.0,0.0
15393,190,Clint Eastwood,Play Misty for Me,1971-11-03,725000.0,10600000.0,14.620689655172416
10778,1223,Joel Coen,The Man Who Wasn't There,2001-05-13,0.0,0.0,0.0
17689,190,Clint Eastwood,The Gauntlet,1977-12-21,5500000.0,26414658.0,4.802665090909091
10650,190,Clint Eastwood,Sudden Impact,1983-12-07,22000000.0,67642693.0,3.074667863636364
9428,5655,Wes Anderson,The Royal Tenenbaums,2001-10-05,21000000.0,71441250.0,3.4019642857142856
22784,1032,Martin Scorsese,Boxcar Bertha,1972-06-14,600000.0,0.0,0.0
28384,1243,Woody Allen,Husbands and Wives,1992-09-18,0.0,0.0,0.0
9689,1243,Woody Allen,Hollywood Ending,2002-05-03,16000000.0,0.0,0.0
13963,1032,Martin Scorsese,The Last Waltz,1978-05-01,0.0,321952.0,0.0
180,488,Steven Spielberg,Minority Report,2002-06-20,102000000.0,358372926.0,3.5134600588235294
9573,190,Clint Eastwood,Blood Work,2002-08-04,50000000.0,26199517.0,0.52399034
31646,2710,James Cameron,Piranha Part Two: The Spawning,1981-01-01,145786.0,0.0,0.0
3131,1032,Martin Scorsese,Gangs of New York,2002-12-14,100000000.0,193772504.0,1.93772504
640,488,Steven Spielberg,Catch Me If You Can,2002-12-25,52000000.0,352114312.0,6.771429076923077
262,1032,Martin Scorsese,The King of Comedy,1982-12-18,20000000.0,0.0,0.0
10724,190,Clint Eastwood,Firefox,1982-06-13,18000000.0,70687344.0,3.9270746666666665
37917,190,Clint Eastwood,Honkytonk Man,1982-12-15,0.0,0.0,0.0
8288,1243,Woody Allen,A Midsummer Night's Sex Comedy,1982-07-16,0.0,0.0,0.0
41291,1776,Francis Ford Coppola,One from the Heart,1982-02-12,0.0,0.0,0.0
24982,2710,James Cameron,Ghosts of the Abyss,2003-04-10,13000000.0,17040871.0,1.3108362307692307
1088,15287,Niki Caro,Whale Rider,2003-01-30,8000000.0,41400000.0,5.175
28503,1776,Francis Ford Coppola,Dementia 13,1963-09-25,30000.0,0.0,0.0
290,1223,Joel Coen,Barton Fink,1991-08-01,9000000.0,6153939.0,0.683771
21449,1243,Woody Allen,"What's Up, Tiger Lily?",1966-11-02,0.0,0.0,0.0
153,1769,Sofia Coppola,Lost in Translation,2003-08-31,4000000.0,119723856.0,29.930964
10739,1243,Woody Allen,Anything Else,2003-08-27,0.0,0.0,0.0
6723,190,Clint Eastwood,The Rookie,1990-12-06,10000000.0,21633874.0,2.1633874
28761,190,Clint Eastwood,White Hunter Black Heart,1990-09-14,0.0,0.0,0.0
322,190,Clint Eastwood,Mystic River,2003-10-07,25000000.0,156822020.0,6.2728808
11775,1223,Joel Coen,Intolerable Cruelty,2003-09-02,60000000.0,119940815.0,1.999013583333333
24,138,Quentin Tarantino,Kill Bill: Vol. 1,2003-10-10,30000000.0,180949000.0,6.031633333333334
5143,1243,Woody Allen,Hannah and Her Sisters,1986-02-07,6400000.0,40084041.0,6.26313140625
11519,488,Steven Spielberg,1941,1979-12-13,35000000.0,31755742.0,0.9073069142857144
5516,1223,Joel Coen,The Ladykillers,2004-03-25,0.0,0.0,0.0
10843,1032,Martin Scorsese,After Hours,1985-09-13,4500000.0,10609321.0,2.357626888888889
393,138,Quentin Tarantino,Kill Bill: Vol. 2,2004-04-16,30000000.0,152159461.0,5.071982033333334
11030,1243,Woody Allen,Zelig,1983-07-15,0.0,11798616.0,0.0
12762,1243,Woody Allen,Broadway Danny Rose,1984-01-27,8000000.0,10600497.0,1.325062125
203,1032,Martin Scorsese,Mean Streets,1973-10-02,500000.0,3000000.0,6.0
42728,1776,Francis Ford Coppola,You're a Big Boy Now,1966-09-09,0.0,0.0,0.0
594,488,Steven Spielberg,The Terminal,2004-06-17,60000000.0,219417255.0,3.65695425
40374,190,Clint Eastwood,Breezy,1973-11-18,0.0,0.0,0.0
53198,1032,Martin Scorsese,My Voyage to Italy,1999-09-11,0.0,0.0,0.0
16153,1032,Martin Scorsese,Alice Doesn't Live Here Anymore,1974-12-09,0.0,0.0,0.0
42694,1032,Martin Scorsese,Who's That Knocking at My Door,1967-11-15,0.0,0.0,0.0
839,488,Steven Spielberg,Duel,1972-10-01,450000.0,0.0,0.0
12637,1032,Martin Scorsese,"New York, New York",1977-06-21,0.0,0.0,0.0
232,1776,Francis Ford Coppola,Rumble Fish,1983-10-20,10000000.0,2494480.0,0.249448
15301,488,Steven Spielberg,Twilight Zone: The Movie,1983-06-24,10000000.0,29450919.0,2.9450919
70,190,Clint Eastwood,Million Dollar Baby,2004-12-15,30000000.0,216763646.0,7.225454866666666
421,5655,Wes Anderson,The Life Aquatic with Steve Zissou,2004-12-10,50000000.0,34808403.0,0.69616806
2567,1032,Martin Scorsese,The Aviator,2004-12-17,116000000.0,102000000.0,0.8793103448275862
22559,2710,James Cameron,Aliens of the Deep,2005-01-21,0.0,0.0,0.0
9688,1243,Woody Allen,Melinda and Melinda,2004-10-29,0.0,20085825.0,0.0
42622,1776,Francis Ford Coppola,Finian's Rainbow,1968-10-09,0.0,0.0,0.0
20187,190,Clint Eastwood,The Eiger Sanction,1975-05-21,0.0,14200000.0,0.0
74,488,Steven Spielberg,War of the Worlds,2005-06-28,132000000.0,591739379.0,4.482874083333333
19082,1032,Martin Scorsese,No Direction Home: Bob Dylan,2005-07-21,2000000.0,0.0,0.0
9701,15287,Niki Caro,North Country,2005-02-12,35000000.0,25224242.0,0.7206926285714286
